audio,transcript
test_sample_1689_clean.wav,و
test_sample_3021_noisy.wav,
test_sample_2985_noisy.wav,و
test_sample_1674_clean.wav,و
test_sample_1697_clean.wav,و
test_sample_2940_noisy.wav,و
test_sample_1667_clean.wav,و
test_sample_2933_noisy.wav,و
test_sample_1654_clean.wav,
test_sample_1686_clean.wav,و
test_sample_1644_clean.wav,و
test_sample_3017_noisy.wav,
test_sample_1687_clean.wav,و
test_sample_3006_noisy.wav,
test_sample_1662_clean.wav,و
test_sample_2983_noisy.wav,و
test_sample_2973_noisy.wav,و
test_sample_2953_noisy.wav,و
test_sample_1641_clean.wav,و
test_sample_2988_noisy.wav,و
test_sample_2935_noisy.wav,و
test_sample_2960_noisy.wav,
test_sample_3005_noisy.wav,و
test_sample_1671_clean.wav,و
test_sample_1683_clean.wav,و
test_sample_2968_noisy.wav,و
test_sample_2929_noisy.wav,
test_sample_2956_noisy.wav,و
test_sample_1696_clean.wav,و
test_sample_2976_noisy.wav,و
test_sample_3011_noisy.wav,
test_sample_2959_noisy.wav,و
test_sample_1678_clean.wav,و
test_sample_1651_clean.wav,
test_sample_2966_noisy.wav,و
test_sample_2974_noisy.wav,
test_sample_1663_clean.wav,و
test_sample_3004_noisy.wav,و
test_sample_1661_clean.wav,و
test_sample_2952_noisy.wav,و
test_sample_2993_noisy.wav,و
test_sample_2963_noisy.wav,
test_sample_2981_noisy.wav,و
test_sample_1684_clean.wav,و
test_sample_1690_clean.wav,و
test_sample_1642_clean.wav,و
test_sample_3003_noisy.wav,و
test_sample_3000_noisy.wav,
test_sample_2924_noisy.wav,و
test_sample_2992_noisy.wav,و
test_sample_2970_noisy.wav,
test_sample_1672_clean.wav,
test_sample_2984_noisy.wav,
test_sample_2991_noisy.wav,
test_sample_2930_noisy.wav,و
test_sample_1675_clean.wav,و
test_sample_2949_noisy.wav,و
test_sample_1643_clean.wav,و
test_sample_3007_noisy.wav,و
test_sample_2995_noisy.wav,و
test_sample_2934_noisy.wav,و
test_sample_2941_noisy.wav,و
test_sample_2977_noisy.wav,و
test_sample_1660_clean.wav,و
test_sample_1677_clean.wav,و
test_sample_1670_clean.wav,و
test_sample_3014_noisy.wav,
test_sample_2994_noisy.wav,
test_sample_1688_clean.wav,و
test_sample_1648_clean.wav,و
test_sample_2938_noisy.wav,و
test_sample_3160_noisy.wav,و
test_sample_3042_noisy.wav,و
test_sample_3077_noisy.wav,و
test_sample_3179_noisy.wav,و
test_sample_3184_noisy.wav,و
test_sample_3049_noisy.wav,و
test_sample_3084_noisy.wav,
test_sample_3069_noisy.wav,
test_sample_3161_noisy.wav,و
test_sample_3122_noisy.wav,
test_sample_3063_noisy.wav,و
test_sample_3113_noisy.wav,
test_sample_3153_noisy.wav,و
test_sample_3152_noisy.wav,و
test_sample_3022_noisy.wav,و
test_sample_3066_noisy.wav,
test_sample_3071_noisy.wav,
test_sample_3134_noisy.wav,
test_sample_3051_noisy.wav,و
test_sample_3096_noisy.wav,و
test_sample_3058_noisy.wav,و
test_sample_3140_noisy.wav,و
test_sample_3168_noisy.wav,و
test_sample_3127_noisy.wav,
test_sample_3112_noisy.wav,و
test_sample_3059_noisy.wav,
test_sample_3041_noisy.wav,
test_sample_3120_noisy.wav,
test_sample_3151_noisy.wav,و
test_sample_3055_noisy.wav,و
test_sample_3048_noisy.wav,و
test_sample_3141_noisy.wav,
test_sample_3136_noisy.wav,
test_sample_3147_noisy.wav,و
test_sample_3135_noisy.wav,
test_sample_3092_noisy.wav,
test_sample_3065_noisy.wav,
test_sample_3024_noisy.wav,و
test_sample_3033_noisy.wav,و
test_sample_3074_noisy.wav,و
test_sample_3075_noisy.wav,و
test_sample_3061_noisy.wav,
test_sample_3076_noisy.wav,و
test_sample_3085_noisy.wav,
test_sample_3158_noisy.wav,و
test_sample_3173_noisy.wav,و
test_sample_3080_noisy.wav,و
test_sample_3146_noisy.wav,و
test_sample_3182_noisy.wav,و
test_sample_3125_noisy.wav,
test_sample_3057_noisy.wav,و
test_sample_3043_noisy.wav,
test_sample_3039_noisy.wav,
test_sample_3172_noisy.wav,
test_sample_3103_noisy.wav,و
test_sample_3035_noisy.wav,و
test_sample_3099_noisy.wav,و
test_sample_3067_noisy.wav,
test_sample_3128_noisy.wav,و
test_sample_3056_noisy.wav,و
test_sample_3133_noisy.wav,و
test_sample_3089_noisy.wav,و
test_sample_3159_noisy.wav,و
test_sample_3030_noisy.wav,
test_sample_3109_noisy.wav,
test_sample_3091_noisy.wav,و
test_sample_3123_noisy.wav,
test_sample_3138_noisy.wav,و
test_sample_3143_noisy.wav,
test_sample_3072_noisy.wav,و
